,Top_positvely_correlated,Top_negatively_correlated
TTLL3,"['COL3A1', 'COL1A1', 'COL1A2', 'COL6A3', 'VIM', 'COL5A1', 'COL6A2', 'SPARC', 'MMP2', 'LUM', 'THBS2', 'C3', 'CCN2', 'C1S', 'CCN1', 'COL6A1', 'DCN', 'FBLN1', 'VCAN', 'FSTL1', 'IGFBP7', 'COL12A1', 'C1R', 'FBN1', 'AEBP1', 'WSB1', 'PLXDC2', 'CALD1', 'PHLDB1', 'SLC9C2']","['SOD2', 'CXCL8', 'HBA2', 'DES', 'IL1RN', 'PI3', 'HBB', 'G0S2', 'OSM', 'CLCA4', 'SPP1', 'BCL2A1', 'NTN1', 'FCAR', 'FAM83D', 'PRSS1', 'FFAR2', 'MYH11', 'LCN2', 'PROK2', 'NEGR1', 'IFIT1', 'SMPX', 'CES1', 'FPR2', 'MT1G', 'CXCR2', 'ECRG4', 'IGHG1', 'CPB1']"
FBLN2,"['COL1A1', 'COL3A1', 'COL1A2', 'MMP2', 'LUM', 'SPARC', 'C3', 'DCN', 'COL6A3', 'AEBP1', 'VIM', 'THBS2', 'COL5A1', 'SFRP4', 'TIMP3', 'SFRP2', 'FBLN1', 'VCAN', 'COL6A2', 'C1S', 'IGFBP3', 'FN1', 'FBN1', 'C1R', 'IGFBP7', 'CTHRC1', 'COMP', 'ELN', 'SULF1', 'FSTL1']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'CKB', 'AGR2', 'TSPAN1', 'MUC2', 'OLFM4', 'CLCA1', 'SLC26A3', 'PCP4', 'DES', 'CEACAM7', 'SOD2', 'KRT20', 'SPINK4', 'CA2', 'TFF3', 'DUOX2', 'MMP12', 'CXCL8', 'DMBT1', 'MS4A12', 'SORBS2', 'ZG16', 'PLAC8', 'ITLN1', 'APOBR', 'REG4']"
SLC6A6,"['COL1A1', 'COL3A1', 'COL1A2', 'IGFBP3', 'SPARC', 'VIM', 'AEBP1', 'COL11A1', 'MMP2', 'LUM', 'SFRP4', 'COL5A1', 'COMP', 'THBS2', 'TIMP3', 'VCAN', 'DCN', 'INHBA', 'IGFBP7', 'COL6A3', 'CDH11', 'ELN', 'LGALS1', 'COL5A2', 'TIMP2', 'CCN2', 'CXCL14', 'COL12A1', 'SULF1', 'CTHRC1']","['PIGR', 'FCGBP', 'LCN2', 'DES', 'AGR2', 'MUC2', 'PLA2G2A', 'CLCA1', 'TSPAN1', 'CKB', 'PI3', 'CA2', 'SPINK4', 'TFF3', 'MYH11', 'OLFM4', 'SLC26A3', 'CEACAM7', 'ZG16', 'KRT20', 'MS4A12', 'SYNM', 'ITLN1', 'REG4', 'MT1X', 'MT1G', 'PCP4', 'DUOX2', 'PLAC8', 'PRUNE2']"
FGD5,"['VIM', 'AQP1', 'PECAM1', 'VWF', 'ENG', 'CALCRL', 'PLVAP', 'SLCO2A1', 'IGFBP7', 'COL4A1', 'EGFL7', 'A2M', 'CLDN5', 'RAMP3', 'EPAS1', 'ADGRL4', 'PLXND1', 'CDH5', 'SPARC', 'CD93', 'ADAMTS1', 'TEK', 'RGS5', 'MMRN2', 'ECSCR', 'ACKR1', 'APLNR', 'VEGFC', 'NES', 'MCAM']","['LCN2', 'PIGR', 'PI3', 'CKB', 'FCGBP', 'AGR2', 'TSPAN1', 'DES', 'MUC2', 'CLCA1', 'SLC26A3', 'OLFM4', 'PCP4', 'PLA2G2A', 'TFF3', 'SPINK4', 'CEACAM7', 'MS4A12', 'KRT20', 'ZG16', 'DMBT1', 'DUOX2', 'SORBS2', 'REG4', 'PPP1R12B', 'MT1G', 'GUCA2A', 'SOD2', 'MYH11', 'MT1X']"
SH3BP5,"['VWF', 'VIM', 'PECAM1', 'SLCO2A1', 'AQP1', 'CALCRL', 'CLDN5', 'ENG', 'RAMP3', 'APLNR', 'ACKR1', 'EGFL7', 'ADGRL4', 'MMRN2', 'CPE', 'STC1', 'SELP', 'ADAMTS1', 'PLXND1', 'IGFBP7', 'PLVAP', 'VEGFC', 'TEK', 'S1PR1', 'CYYR1', 'SPARC', 'A2M', 'ADAMTS9', 'CD93', 'MMRN1']","['FCGBP', 'MUC2', 'LCN2', 'CLCA1', 'DES', 'OLFM4', 'AGR2', 'TSPAN1', 'CA2', 'SPINK4', 'PLA2G2A', 'PI3', 'TFF3', 'MYH11', 'ZG16', 'SLC26A3', 'KRT20', 'CEACAM7', 'DUOX2', 'REG4', 'ACTG2', 'ITLN1', 'MS4A12', 'DMBT1', 'CA4', 'MYLK', 'GUCA2A', 'PARM1', 'CLCA4', 'FABP1']"
RFTN1,"['COL3A1', 'COL1A1', 'SPARC', 'VIM', 'COL1A2', 'COL5A1', 'IGFBP7', 'LGALS1', 'COL4A1', 'MMP2', 'LUM', 'COL6A2', 'COL6A3', 'AEBP1', 'IGFBP3', 'VCAN', 'CALD1', 'THBS2', 'THY1', 'COL5A2', 'TIMP3', 'COL4A2', 'TAGLN', 'TIMP2', 'A2M', 'C1S', 'DCN', 'TIMP1', 'SFRP4', 'FSTL1']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'CKB', 'TSPAN1', 'MUC2', 'CLCA1', 'OLFM4', 'CEACAM7', 'SLC26A3', 'KRT20', 'SPINK4', 'PCP4', 'PLA2G2A', 'TFF3', 'DUOX2', 'ZG16', 'CA2', 'MS4A12', 'ITLN1', 'DMBT1', 'REG4', 'SORBS2', 'MT1G', 'PLAC8', 'GUCA2A', 'KLF4', 'MT1X']"
SATB1,"['COL3A1', 'TAGLN', 'MYL9', 'COL1A1', 'DES', 'TPM2', 'TPM1', 'ACTG2', 'COL1A2', 'VIM', 'SPARC', 'MYLK', 'CALD1', 'CSRP1', 'LUM', 'TRBC2', 'COL6A2', 'MYH11', 'COL5A1', 'LGALS1', 'FLNA', 'C1R', 'FN1', 'TIMP2', 'CD74', 'MMP2', 'C1QC', 'CNN1', 'COL6A3', 'COL6A1']","['PI3', 'LCN2', 'CEACAM7', 'CKB', 'SLC26A3', 'HBA2', 'KRT20', 'TSPAN1', 'DUOX2', 'HBB', 'CLCA4', 'G0S2', 'SOD2', 'CXCL8', 'PLAC8', 'MS4A12', 'PLAUR', 'GUCA2A', 'CA4', 'MXD1', 'IL1B', 'NAMPT', 'GUCA2B', 'KLF4', 'IL33', 'S100A8', 'C2orf88', 'CD55', 'IFITM2', 'MUC3A']"
KAT2B,"['VIM', 'CD74', 'TRAC', 'IGKC', 'TRBC2', 'COL3A1', 'LYZ', 'C1QC', 'SRGN', 'JCHAIN', 'CD2', 'IFI30', 'SPOCK2', 'ITGA4', 'CCL5', 'LGALS1', 'LSP1', 'IKZF1', 'LTB', 'SPARC', 'IGHG1', 'LAPTM5', 'STK17B', 'A2M', 'ARHGDIB', 'RGS1', 'CORO1A', 'CTSB', 'TRBC1', 'COL6A2']","['LCN2', 'CKB', 'PI3', 'KIZ', 'DMBT1', 'HBA2', 'FAM83D', 'HBB', 'SORBS2', 'OSM', 'PNLIP', 'PPBP', 'GPM6A', 'SOD2', 'PCP4', 'REG1B', 'CXCR2', 'CXCL8', 'MTCL1', 'AGR2', 'PNCK', 'SGCA', 'CLEC3B', 'IL1A', 'NFIX', 'AKAP6', 'PGM5', 'PENK', 'FCAR', 'WLS']"
ZNF385D,"['VWF', 'AQP1', 'PECAM1', 'ACKR1', 'SLCO2A1', 'MMRN1', 'CPE', 'CCL14', 'CALCRL', 'ENG', 'EGFL7', 'SPARCL1', 'VIM', 'CLDN5', 'RAMP3', 'TEK', 'ECSCR', 'MMRN2', 'IL33', 'CLU', 'PLVAP', 'SELP', 'ADGRG6', 'EPAS1', 'TLL1', 'JAM2', 'CDH5', 'IGFBP7', 'ADGRL4', 'MCTP1']","['FABP1', 'PI3', 'PIGR', 'CKB', 'CXCL14', 'AGR2', 'PCP4', 'FCGBP', 'SPINK4', 'TSPAN1', 'CLCA1', 'SLC26A3', 'CEACAM7', 'MUC2', 'F3', 'CA2', 'NFIX', 'KRT20', 'OLFM4', 'NBL1', 'PLA2G2A', 'THBS2', 'ZG16', 'PRNP', 'C3', 'STK38L', 'LUM', 'DMBT1', 'DUOX2', 'MS4A12']"
UBE2E2,"['COL3A1', 'VIM', 'COL1A1', 'SPARC', 'COL1A2', 'COL6A2', 'LGALS1', 'MMP2', 'TAGLN', 'CALD1', 'IGFBP7', 'COL5A1', 'COL6A3', 'LUM', 'COL4A1', 'AEBP1', 'FOXI2', 'C1R', 'VCAN', 'COL4A2', 'TIMP1', 'TIMP2', 'C1S', 'ACTA2', 'COL6A1', 'THY1', 'FSTL1', 'A2M', 'CD74', 'TIMP3']","['LCN2', 'PIGR', 'FCGBP', 'PI3', 'AGR2', 'OLFM4', 'TSPAN1', 'MUC2', 'CKB', 'CLCA1', 'SPINK4', 'CEACAM7', 'KRT20', 'TFF3', 'DUOX2', 'DMBT1', 'SLC26A3', 'ZG16', 'ITLN1', 'PLAC8', 'PLA2G2A', 'REG4', 'MS4A12', 'REG1A', 'CLCA4', 'MT1X', 'MXD1', 'KLF4', 'CA2', 'MT1F']"
RBMS3,"['COL3A1', 'VIM', 'COL1A1', 'COL6A2', 'SPARC', 'COL1A2', 'A2M', 'IGFBP7', 'COL4A1', 'TAGLN', 'LGALS1', 'C1S', 'COL5A1', 'VCAN', 'COL6A3', 'COL4A2', 'COL6A1', 'CALD1', 'MYL9', 'MMP2', 'ACTA2', 'LUM', 'COL18A1', 'C1R', 'MGP', 'CSRP1', 'DCN', 'RGS5', 'C11orf96', 'CCN1']","['LCN2', 'PI3', 'PIGR', 'AGR2', 'TSPAN1', 'FCGBP', 'MUC2', 'CLCA1', 'OLFM4', 'CEACAM7', 'SLC26A3', 'CKB', 'TFF3', 'SPINK4', 'KRT20', 'DMBT1', 'DUOX2', 'MS4A12', 'ZG16', 'ITLN1', 'PLAC8', 'REG4', 'MT1G', 'CA2', 'MT1X', 'CA4', 'GUCA2A', 'CLCA4', 'G0S2', 'MXD1']"
CCK,"['FRMD6', 'ANO6', 'ZMIZ1', 'FAM193B', 'CHI3L1', 'PNMA6E', 'ITPR2', 'OGFRL1', 'GPX3', 'ITGB2', 'SPP1', 'SLC34A1', 'LRRC32', 'EBF2', 'MXRA7', 'ZBTB20', 'KCNK18', 'NFIX', 'PLEK', 'MMP12', 'NBL1', 'IFI6', 'VAT1', 'PKD2', 'TYROBP', 'ADGRG3', 'IGHG1', 'ACTA2', 'SAMHD1', 'GSN']","['TAGLN', 'COL1A2', 'LGALS1', 'CALD1', 'IGFBP7', 'TPM1', 'COL6A2', 'EHBP1L1', 'COL6A1', 'COL5A1', 'PSAP', 'TPM2', 'VCAN', 'LUM', 'ACTG2', 'MYLK', 'TPM4', 'MYH11', 'AHNAK', 'CNN2', 'COL4A1', 'COL4A2', 'IGFBP5', 'PI3', 'SOCS3', 'PPP1R12B', 'THY1', 'SRGN', 'CSRP1', 'MSN']"
ZBTB47,"['COL3A1', 'SPARC', 'TAGLN', 'COL1A1', 'COL1A2', 'CALD1', 'VIM', 'MYL9', 'MMP2', 'LGALS1', 'THBS2', 'LUM', 'DES', 'TIMP2', 'AEBP1', 'IGFBP7', 'CSRP1', 'ACTA2', 'TPM2', 'PALLD', 'SFRP4', 'COL5A1', 'MYH11', 'TPM1', 'ANTXR1', 'COL6A3', 'THY1', 'COL6A2', 'TIMP3', 'DCN']","['FABP1', 'LCN2', 'FCGBP', 'TSPAN1', 'AGR2', 'MUC2', 'PI3', 'CLCA1', 'OLFM4', 'SLC26A3', 'KRT20', 'SPINK4', 'ZG16', 'CA2', 'CEACAM7', 'TFF3', 'JCHAIN', 'CKB', 'PLA2G2A', 'DUOX2', 'PLAC8', 'MS4A12', 'MT1X', 'MT1G', 'ITLN1', 'GUCA2A', 'REG4', 'KLF4', 'DMBT1', 'CA4']"
GASK1A,"['COL1A1', 'COL1A2', 'COL3A1', 'RASGEF1C', 'MMP2', 'C3', 'SFRP2', 'LUM', 'COL6A3', 'AEBP1', 'DCN', 'COL6A2', 'THBS2', 'MGP', 'SFRP4', 'C1S', 'FBLN1', 'SPARC', 'COL5A1', 'CTHRC1', 'GREM1', 'C1R', 'FBLN2', 'COMP', 'COL14A1', 'TIMP1', 'VCAN', 'TIMP2', 'ANGPTL2', 'VIM']","['FABP1', 'PIGR', 'PI3', 'TSPAN1', 'FCGBP', 'AGR2', 'CLCA1', 'OLFM4', 'CEACAM7', 'SORBS2', 'CKB', 'KRT20', 'SLC26A3', 'SPINK4', 'STK38L', 'DDIT4', 'PCP4', 'APOBR', 'MUC2', 'BTG1', 'DUOX2', 'MT1X', 'DMBT1', 'F3', 'TGM2', 'GUK1', 'REG4', 'ZFP36', 'MS4A12', 'MMP12']"
CLEC3B,"['RPRM', 'ZNF750', 'CP', 'PLA2G2A', 'HELT', 'TLL1', 'VWF', 'KRT24', 'AQP1', 'PI16', 'CFD', 'CALCRL', 'EPAS1', 'GPX8', 'PECAM1', 'TNXB', 'NKX2-3', 'PLS3', 'SERPING1', 'C3', 'CYP1B1', 'PTPRM', 'CLU', 'SLCO2A1', 'S1PR1', 'JAM2', 'CPE', 'VIM', 'FBLN2', 'ADAMTS15']","['LCN2', 'PI3', 'FCGBP', 'AGR2', 'PIGR', 'PRNP', 'TFF3', 'MUC2', 'PPP3CB', 'EPSTI1', 'KRT20', 'SPINK4', 'MT1X', 'CLCA1', 'SLAIN2', 'OLFM4', 'KIZ', 'ZG16', 'SERPINA1', 'FOXN3', 'DMBT1', 'PRUNE2', 'SESTD1', 'SYNPO2', 'SLC26A3', 'TSPAN1', 'PLAUR', 'TRAC', 'TXNDC15', 'PCM1']"
LAMB2,"['COL1A1', 'COL3A1', 'COL1A2', 'SPARC', 'COL5A1', 'MMP2', 'VIM', 'COL6A2', 'COL6A3', 'AEBP1', 'COL4A1', 'IGFBP7', 'THBS2', 'LUM', 'VCAN', 'COL5A2', 'FN1', 'THBS1', 'COL12A1', 'TIMP3', 'C1S', 'CCN2', 'COL4A2', 'C1R', 'COL6A1', 'DCN', 'PDGFRB', 'TIMP2', 'SFRP4', 'CCN1']","['FCGBP', 'LCN2', 'FABP1', 'MUC2', 'CLCA1', 'PI3', 'TSPAN1', 'AGR2', 'OLFM4', 'SLC26A3', 'KRT20', 'CA2', 'SPINK4', 'TFF3', 'ZG16', 'IGKC', 'CEACAM7', 'JCHAIN', 'DUOX2', 'MS4A12', 'REG4', 'GUCA2A', 'CA4', 'ITLN1', 'PLAC8', 'CLCA4', 'CA1', 'DMBT1', 'MT1G', 'SELENOP']"
GNAI2,"['VIM', 'CD74', 'MMP12', 'COL4A1', 'LYZ', 'IFI30', 'ENG', 'PECAM1', 'SPARC', 'LGALS1', 'SRGN', 'IGFBP7', 'A2M', 'VWF', 'CTSB', 'PLXND1', 'COL4A2', 'C1QA', 'C1QB', 'C1QC', 'COL3A1', 'MSN', 'PLVAP', 'COL1A1', 'LAPTM5', 'LCP1', 'TIMP1', 'CD93', 'ETS1', 'EGFL7']","['FCGBP', 'LCN2', 'MUC2', 'AGR2', 'CLCA1', 'FABP1', 'OLFM4', 'TSPAN1', 'SPINK4', 'TFF3', 'PLA2G2A', 'CA2', 'SLC26A3', 'ZG16', 'KRT20', 'PI3', 'ITLN1', 'CEACAM7', 'REG4', 'DUOX2', 'DMBT1', 'CA4', 'MS4A12', 'CKB', 'CA1', 'MT1G', 'GUCA2A', 'PLAC8', 'CLCA4', 'MT1X']"
IQCF5,"['RNF150', 'CADM3', 'PDE1A', 'DLG5', 'CFH', 'MEDAG', 'FGF2', 'FZD4', 'PRAF2', 'SCG2', 'LRP1', 'THEMIS2', 'FAM126A', 'LMCD1', 'PDLIM4', 'FZD8', 'FPR2', 'ASAH1', 'UBE2L6', 'TSHZ2', 'PLAUR', 'SFRP2', 'JAM3', 'ATP8B2', 'TYRP1', 'CXCL8', 'FAM20C', 'HAND2', 'EMILIN1', 'TBC1D10C']","['VIM', 'TAGLN', 'SPARC', 'LITAF', 'ACTA2', 'PEA15', 'ATN1', 'LYZ', 'EHBP1L1', 'CXCL14', 'C1QC', 'SEPTIN11', 'AGR2', 'LCN2', 'WSB1', 'GABARAP', 'AHR', 'CTSB', 'THBS2', 'TACC1', 'COL12A1', 'WIPF1', 'CCN1', 'CD74', 'TSPAN1', 'HTRA1', 'TNIP1', 'CORO1C', 'ADD1', 'PI3']"
PPM1M,"['CDRT15', 'VIM', 'CD74', 'LYZ', 'COL3A1', 'SRGN', 'IFI30', 'COL1A1', 'CTSB', 'PSAP', 'COL1A2', 'LGALS1', 'SPARC', 'LCP1', 'C1QC', 'MMP12', 'TYROBP', 'SPI1', 'LAPTM5', 'APOE', 'CYBB', 'MS4A7', 'MS4A6A', 'MPEG1', 'CD68', 'TRAC', 'LUM', 'TRBC2', 'STAB1', 'C1QA']","['PIGR', 'FABP1', 'FCGBP', 'PI3', 'AGR2', 'MUC2', 'CLCA1', 'TSPAN1', 'TFF3', 'SPINK4', 'OLFM4', 'CEACAM7', 'PLA2G2A', 'DUOX2', 'KRT20', 'DMBT1', 'CA2', 'ZG16', 'MS4A12', 'SLC26A3', 'CKB', 'REG4', 'MT1F', 'CA4', 'PLAC8', 'CLCA4', 'CA1', 'GUCA2A', 'KLF4', 'REG1A']"
STAB1,"['CD74', 'C1QC', 'C1QA', 'C1QB', 'CTSB', 'CSF1R', 'LYZ', 'MS4A6A', 'CD163', 'IFI30', 'MS4A7', 'CD14', 'MPEG1', 'SRGN', 'VIM', 'PSAP', 'SLCO2B1', 'CD68', 'CYBB', 'FCER1G', 'PLTP', 'CD4', 'LAPTM5', 'TYROBP', 'A2M', 'AIF1', 'MMP12', 'CTSC', 'SELENOP', 'RGS1']","['LCN2', 'PI3', 'PIGR', 'CKB', 'AGR2', 'FCGBP', 'TSPAN1', 'MUC2', 'CLCA1', 'CEACAM7', 'SLC26A3', 'SPINK4', 'KRT20', 'OLFM4', 'DUOX2', 'TFF3', 'MS4A12', 'ZG16', 'DMBT1', 'CA2', 'ITLN1', 'PLA2G2A', 'MT1X', 'PCP4', 'MT1G', 'PLAC8', 'GUCA2A', 'REG4', 'SORBS2', 'CA4']"
ITIH3,"['ACTC1', 'PTCHD1', 'ACTA2', 'MCAM', 'VIM', 'A2M', 'SPARCL1', 'NTRK3', 'TAGLN', 'IGFBP7', 'MAP1B', 'DEPP1', 'NOTCH3', 'THBS1', 'NTN4', 'C11orf96', 'ID4', 'MYL9', 'APOBEC3A', 'FHL5', 'LMO3', 'HSPB1', 'RELN', 'COL4A2', 'ADAM33', 'SLC4A1', 'FN1', 'MFGE8', 'EOGT', 'CSRP1']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'TSPAN1', 'CKB', 'JCHAIN', 'PCP4', 'MUC2', 'WLS', 'AGR2', 'C1QB', 'C1QC', 'PRNP', 'APOBR', 'NEK7', 'SPINK4', 'CEACAM7', 'OLFM4', 'GABARAP', 'PLEKHM2', 'ARL4C', 'CD14', 'PLAUR', 'RGS1', 'CLCA1', 'ITGA4', 'SOD2', 'STX12', 'C1orf21']"
CACNA2D3,"['MAGI2', 'CASQ2', 'DES', 'CNTNAP1', 'MYH11', 'SPINK6', 'LMO3', 'RASL12', 'TAGLN', 'PRUNE2', 'SYNPO2', 'PEG3', 'MARCOL', 'MYL9', 'VIP', 'STUM', 'PLN', 'ACTG2', 'OLFML3', 'NFASC', 'HSPB7', 'SPINK13', 'IFI27L2', 'TPM2', 'FILIP1', 'MYLK', 'PPP1R12B', 'ILK', 'SMTN', 'KCNMB1']","['LCN2', 'SPARC', 'PI3', 'PIGR', 'COL5A1', 'LAMB2', 'VEGFB', 'CCN2', 'CTHRC1', 'CTSB', 'DUSP1', 'VAMP3', 'ARHGDIB', 'SLC26A3', 'AGR2', 'IGFBP3', 'FAM114A1', 'ARRB2', 'FCGBP', 'CRIM1', 'NFIX', 'WDFY1', 'SCARB2', 'ENG', 'SFRP4', 'HSPG2', 'CEACAM7', 'FCER1G', 'PECAM1', 'NR2F2']"
SLMAP,"['DES', 'MYH11', 'ACTG2', 'TAGLN', 'MYL9', 'CSRP1', 'SYNPO2', 'MYLK', 'CNN1', 'TPM2', 'SYNM', 'PPP1R12B', 'TPM1', 'FLNA', 'SORBS1', 'SMTN', 'PLN', 'LMOD1', 'PRUNE2', 'CHRDL2', 'ACTA2', 'TNC', 'CALD1', 'LPP', 'PCP4', 'ACTN1', 'KCNMA1', 'MAB21L2', 'FLNC', 'TNS1']","['SPARC', 'MMP2', 'IGKC', 'COL1A2', 'LUM', 'DCN', 'PIGR', 'VIM', 'JCHAIN', 'COL3A1', 'SRGN', 'IGFBP3', 'FCGBP', 'LYZ', 'SFRP4', 'IGHG1', 'CTHRC1', 'COL5A1', 'SFRP2', 'FBLN1', 'THBS2', 'PECAM1', 'VCAN', 'CD74', 'THY1', 'CTSK', 'TIMP1', 'C3', 'ENG', 'COMP']"
PRICKLE2,"['TAGLN', 'COL3A1', 'COL6A2', 'MYL9', 'DES', 'COL1A1', 'MYH11', 'TNC', 'ACTG2', 'CSRP1', 'COL1A2', 'C1S', 'TPM2', 'MYLK', 'COL6A3', 'COL6A1', 'CALD1', 'C1R', 'MMP2', 'CNN1', 'VIM', 'ACTA2', 'TPM1', 'SPARC', 'CHRDL2', 'SYNPO2', 'COL5A1', 'AEBP1', 'LUM', 'IGFBP7']","['FABP1', 'PI3', 'PIGR', 'FCGBP', 'AGR2', 'TSPAN1', 'MUC2', 'CLCA1', 'OLFM4', 'KRT20', 'CEACAM7', 'SLC26A3', 'TFF3', 'DUOX2', 'SPINK4', 'DMBT1', 'ZG16', 'CA2', 'PLAC8', 'MS4A12', 'PLAUR', 'CA4', 'MXD1', 'CLCA4', 'REG4', 'ITLN1', 'SPP1', 'CXCL8', 'CA1', 'CD177']"
ADAMTS9,"['PECAM1', 'VWF', 'COL4A1', 'VIM', 'AQP1', 'PLVAP', 'ENG', 'CALCRL', 'EGFL7', 'ADGRL4', 'SLCO2A1', 'ADAMTS1', 'A2M', 'APLNR', 'MCAM', 'RGS5', 'IGFBP7', 'COL4A2', 'CD93', 'EPAS1', 'PLXND1', 'HSPG2', 'CDH5', 'RAMP3', 'ESAM', 'STC1', 'MMRN2', 'S1PR1', 'CD34', 'VEGFC']","['LCN2', 'PIGR', 'PI3', 'SFRP4', 'CKB', 'FCGBP', 'SLC26A3', 'CEACAM7', 'TSPAN1', 'MUC2', 'GREM1', 'THBS2', 'MS4A12', 'KRT20', 'COMP', 'ZG16', 'CLCA1', 'AGR2', 'PLA2G2A', 'SPON1', 'COL11A1', 'PCP4', 'MT1G', 'TFF3', 'MT1X', 'GUCA2A', 'MT1F', 'SFRP2', 'ITGBL1', 'CA1']"
EOGT,"['TAGLN', 'VIM', 'A2M', 'COL4A1', 'ACTA2', 'IGFBP7', 'MYL9', 'SPARC', 'COL4A2', 'CSRP1', 'MCAM', 'COL3A1', 'CALD1', 'THBS1', 'SPARCL1', 'ACTG2', 'RGS5', 'TPM1', 'LGALS1', 'FLNA', 'ENG', 'COL6A2', 'MYLK', 'C11orf96', 'TPM2', 'TNC', 'COL18A1', 'PLVAP', 'NOTCH3', 'PLXND1']","['FABP1', 'LCN2', 'FCGBP', 'PI3', 'TSPAN1', 'JCHAIN', 'MUC2', 'AGR2', 'CLCA1', 'KRT20', 'SLC26A3', 'TFF3', 'SPINK4', 'IGHA1', 'ZG16', 'CEACAM7', 'OLFM4', 'PLA2G2A', 'IGKC', 'DUOX2', 'MS4A12', 'PLAC8', 'GUCA2A', 'MT1G', 'MT1X', 'CXCL8', 'IGHM', 'DMBT1', 'REG4', 'CLCA4']"
MITF,"['COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'TAGLN', 'LUM', 'MMP2', 'COL6A2', 'COL6A3', 'CALD1', 'MYL9', 'VIM', 'AEBP1', 'COL5A1', 'THBS2', 'TIMP2', 'DCN', 'LGALS1', 'C1R', 'C1S', 'SFRP4', 'DES', 'TPM2', 'IGFBP7', 'VCAN', 'CSRP1', 'TPM1', 'ACTG2', 'CTSB', 'MYLK']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'TSPAN1', 'MUC2', 'CLCA1', 'OLFM4', 'CEACAM7', 'SLC26A3', 'SPINK4', 'CA2', 'ZG16', 'TFF3', 'MS4A12', 'CKB', 'KRT20', 'KLF4', 'DMBT1', 'REG4', 'PLAC8', 'GUCA2A', 'ITLN1', 'MT1X', 'CA4', 'PARM1', 'CA1', 'MXD1', 'DUOX2']"
FOXP1,"['TAGLN', 'VIM', 'COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'CALD1', 'MYLK', 'TPM1', 'MYL9', 'PIGR', 'DES', 'CSRP1', 'ACTG2', 'COL6A2', 'ACTA2', 'CLCA1', 'TNC', 'IGFBP7', 'MUC2', 'OLFM4', 'SPARCL1', 'FCGBP', 'MMP2', 'C1S', 'TPM2', 'MYH11', 'A2M', 'LGALS1', 'AQP1']","['PI3', 'SOD2', 'CXCL8', 'LCN2', 'PLAUR', 'CKB', 'G0S2', 'IL1B', 'IL1RN', 'OSM', 'NAMPT', 'MXD1', 'SPP1', 'CEACAM7', 'BCL2A1', 'HCAR3', 'S100A9', 'PLEK', 'KIZ', 'PDE4B', 'CCL3', 'HBA2', 'AQP9', 'LITAF', 'FCAR', 'ACSL1', 'TREM1', 'CSF2RA', 'OSR1', 'ISG20']"
EIF4E3,"['PIGR', 'DES', 'TAGLN', 'FCGBP', 'TRBC2', 'VIM', 'IGKC', 'SELENOP', 'MYH11', 'MYL9', 'MUC2', 'TRAC', 'SLC26A3', 'KRT20', 'CD74', 'CA2', 'TSPAN1', 'CD2', 'SRGN', 'LCP1', 'JCHAIN', 'CALD1', 'LSP1', 'GUCA2A', 'COL3A1', 'CCL5', 'EVL', 'GNLY', 'TPM1', 'LGALS1']","['CKB', 'PPFIBP1', 'HBA2', 'C1orf198', 'SH3BP5', 'VEGFB', 'CPA1', 'HBB', 'MMP1', 'SPP1', 'NFIX', 'PHYHIP', 'NPTX1', 'ZNF750', 'LAMB2', 'NAP1L3', 'KRT24', 'PADI4', 'SPON1', 'KCNK3', 'SEMA3E', 'USP17L1', 'TRIM60', 'PLAAT5', 'CRTAC1', 'HBD', 'FABP4', 'CLC', 'CTRB2', 'LRRC4C']"
PROK2,"['OSM', 'CXCL8', 'IL1B', 'G0S2', 'S100A8', 'S100A9', 'BCL2A1', 'SRGN', 'IL1RN', 'PLEK', 'VNN2', 'AQP9', 'PTGS2', 'HCAR3', 'TREM1', 'FPR1', 'CSF3R', 'NAMPT', 'SOCS3', 'PLAUR', 'SOD2', 'FCAR', 'LITAF', 'SELL', 'ZFP36', 'TAGAP', 'LCP2', 'FFAR2', 'PDE4B', 'MNDA']","['MYL9', 'TPM1', 'FN1', 'FABP1', 'MYH11', 'COL3A1', 'ACTG2', 'CSRP1', 'THBS1', 'TAGLN', 'CALD1', 'FCGBP', 'HSPB1', 'CNN1', 'GREM1', 'SFRP2', 'NFIX', 'COL1A1', 'MGP', 'COL1A2', 'SPARC', 'PCP4', 'ATN1', 'THBS2', 'SLC26A3', 'AEBP1', 'ELN', 'ITGB5', 'PPP1R12B', 'KIF1C']"
